Order_ID,Order_Date,SKU,Product_Name,Customer_Region,Warehouse_ID,Quantity_Sold,Unit_Price,Unit_Cost,Order_Status
SO-500560,2025-06-12 00:00:00,SKU-1037,LED Driver 12V,Sulawesi,WH-SMG,19,24.69,,Delivered
SO-500394,2025-09-26 00:00:00,SKU-1006,Stainless Steel Rod,Central Java,,103,Rp 63.49,49.28,Delivered
SO-500202,2025-07-08 00:00:00,SKU-1003,Cotton Yarn,West Java,WH-SMG,51,254.26,190.06,Delivered
SO-500578,2025-07-31 00:00:00,SKU-1010,Corrugated Box Medium,Sumatra,WH-MDN,184,294.1,171.63,Delivered
SO-500623,2025-04-20 00:00:00,SKU-1036,Pressure Valve 1/2in,Kalimantan,WH-SBY,120,56.49,39.97,Delivered
SO-500580,,SKU-1004,Copper Wire Roll,West Java,WH-SMG,168,39.25,26.9,Delivered
SO-500126,2025-10-20 00:00:00,SKU-1024,Bluetooth Speaker Mini,Sulawesi,WH-SMG,156,273.05,168.61,Returned
SO-500071,2025-09-03 00:00:00,SKU-1030,Ball Bearing 6205,East Java,WH-MDN,,145.89,101.55,Cancelled
SO-500402,2025-05-24 00:00:00,SKU-1043,Cutting Tool Insert,Sulawesi,WH-MKS,21,49.63,34.42,Delivered
SO-500142,2025-01-20 00:00:00,SKU-1002,PVC Resin,Sumatra,WH-SMG,64,81.83,50.91,Delivered
SO-500479,2025-07-23 00:00:00,SKU-1034,Motor Bracket Assembly,Sumatra,WH-SBY,113,377.86,,Delivered
SO-500169,2025-10-15 00:00:00,SKU-1035,Gear Set Helical,Kalimantan,WH-SMG,67,389.75,231.74,Delivered
SO-500399,2025-09-13 00:00:00,SKU-1005,Polyethylene Pellets,Kalimantan,WH-MDN,174,282.47,182.84,Delivered
SO-500611,2025-12-23 00:00:00,SKU-1031,Hydraulic Pump Seal,Bali & Nusa Tenggara,WH-JKT,121,49.09,36.34,Delivered
SO-500459,2025-01-28 00:00:00,SKU-1039,Timing Belt 120T,West Java,,253,54.43,31.29,Delivered
SO-500449,2025-04-20 00:00:00,SKU-1045,Welding Rod E6013,East Java,WH-SBY,37,260.41,167.46,Delivered
SO-500019,2025-05-06 00:00:00,SKU-1002,PVC Resin,Sulawesi,WH-MDN,42,81.83,50.91,Delivered
SO-500309,2025-06-10 00:00:00,Sku-1028,wireless mouse,Central Java,WH-MDN,216,331.23,196.98,Delivered
SO-500168,2025-07-10 00:00:00,SKU-1006,Stainless Steel Rod,Sulawesi,WH-SBY,35,63.49,49.28,Delivered
SO-500077,2025-11-09 00:00:00,SKU-1003,Cotton Yarn,Bali & Nusa Tenggara,WH-JKT,111,254.26,190.06,Delivered
SO-500343,2025-11-02 00:00:00,SKU-1043,Cutting Tool Insert,Sulawesi,,Rp 233,49.63,34.42,Delivered
SO-500553,10-Jan-25,SKU-1034,Motor Bracket Assembly,Bali & Nusa Tenggara,WH-MDN,188,377.86,216.37,Delivered
SO-500200,2025-11-20 00:00:00,SKU-1028,Wireless Mouse,Bali & Nusa Tenggara,WH-SMG,145,331.23,196.98,Delivered
SO-500550,2025-03-18 00:00:00,SKU-1028,Wireless Mouse,Sulawesi,WH-JKT,130,331.23,,Delivered
SO-500490,2025-02-22 00:00:00,SKU-1005,Polyethylene Pellets,East Java,WH-JKT,193,282.47,182.84,Delivered
SO-500217,,SKU-1049,Cleaning Solvent Industrial,Central Java,WH-SBY,75,62.18,41.65,Delivered
SO-500473,2025-12-02 00:00:00,SKU-1017,Foam Insert Sheet,Kalimantan,WH-SBY,72,99.51,74.43,Delivered
SO-500464,2025-10-21,SKU-1007,Rubber Compound,East Java,WH-JKT,283,316.36,216.82,Delivered
SO-500634,2025-01-14 00:00:00, SKU-1046,Machine Coolant 5L,east java,WH-MDN,137,39.50 ,,Delivered
SO-500006,2025-01-20 00:00:00,SKU-1016,Poly Mailer Bag,Sulawesi,WH-JKT,227,223.93,170.55,Delivered
SO-500412,2025-03-20 00:00:00,SKU-1040,Industrial Lubricant 20L,East Java,,189,257.33,164.86,Delivered
SO-500401,2025-10-18 00:00:00,sku-1044,Hydraulic Oil ISO 46,East Java,WH-MDN,28,170.97,110.39,Delivered
SO-500543,2025-10-09 00:00:00,SKU-1035,Gear Set Helical,West Java,WH-SBY,241,389.75,231.74,Delivered
SO-500540,2025-11-05 00:00:00,SKU-1044,Hydraulic Oil ISO 46,Central Java,WH-JKT,172,170.97,110.39,Delivered
SO-500356,2025-04-25 00:00:00,SKU-1046,  Machine Coolant 5L  ,Bali & Nusa Tenggara,WH-JKT,16,39.5,30.18,Returned
SO-500336,2025-01-04 00:00:00,SKU-1015,Carton Tape 48mm,Sumatra,WH-SMG,125 ,218.82,149.71,Deliverd
SO-500323,08.30.2025,SKU-1045,Welding Rod E6013,Kalimantan,WH-JKT,75,260.41,167.46,Delivered
SO-500564,2025-06-19 00:00:00,SKU-1000,Steel Coil 2mm,Central Java,WH-MKS,71,10.82,7.72,DELIVERED
SO-500635,07.18.2025,SKU-1025,Ceiling Fan 56in,Sulawesi,WH-JKT,297,141.94,110.44,Delivered
SO-500585,2025-10-04 00:00:00,SKU-1046,Machine Coolant 5L,Kalimantan,WH-SMG,149,39.5,30.18,Delivered
SO-500532,2025-02-13 00:00:00,SKU-1047,Conveyor Belt Roller,West Java,WH-MKS,263,Rp 83.28,52.09,Delivered
SO-500636,2025-04-24 00:00:00,SKU-1021,Office Chair Ergonomic,Kalimantan,WH-MKS,248,64.64,37.3,Delivered
SO-500366,2025-03-31 00:00:00,SKU-1037,LED Driver 12V,Sulawesi,WH-MDN,258,24.69,15.71,Delivered
SO-500081,2025-08-21 00:00:00,SKU-1044,Hydraulic Oil ISO 46,Kalimantan,WH-JKT,124,170.97,110.39,Delivered
SO-500110,2025-07-17 00:00:00,SKU-1024,Bluetooth Speaker Mini,Sumatra,WH-SBY,23,273.05,168.61,Delivered
SO-500166,2025-12-07 00:00:00,SKU-1020,Cordless Drill 18V,East Java,WH-SMG,83,372.99,245.59,Delivered
SO-500170,2025-08-05 00:00:00,SKU-1042,Air Filter Cartridge,East Java,WH-JKT,164,207.59,115.38,Delivered
SO-500639,2025-10-14 00:00:00,SKU-1016,Poly Mailer Bag,Kalimantan,WH-SBY,176,Rp 223.93,170.55,Delivered
SO-500070,2025-09-09 00:00:00,SKU-1048,Spare Fuse 10A,Bali & Nusa Tenggara,WH-JKT,11,271.48,,Delivered
SO-500008,2025-04-08 00:00:00,SKU-1036,Pressure Valve 1/2in,west java,WH-SMG,228,56.49,39.97,DELIVERED
SO-500406,2025-12-19 00:00:00,SKU-1008,Silicone Sealant Bulk,Sulawesi,WH-JKT,182,145.32,89.78,DELIVERED
SO-500425,2025-04-13 00:00:00,SKU-1044,Hydraulic Oil ISO 46,East Java,,95,170.97,110.39,Cancelled
SO-500378,2025-11-29 00:00:00,SKU-1034,Motor Bracket Assembly,East Java,WH-SMG,138,377.86,216.37,Delivered
SO-500363,2025-04-30 00:00:00,SKU-1018,Label Roll Thermal,East Java,WH-MKS,300,291.85,190.85,Delivered
SO-500185,2025-03-12 00:00:00,SKU-1013,Pallet Wood Standard,East Java,WH-SMG,172,224.95,135.44,Delivered
SO-500024,2025-11-01 00:00:00,SKU1035,Gear Set Helical,Bali & Nusa Tenggara,,231,389.75,231.74,Delivered
SO-500487,,SKU-1000,Steel Coil 2mm,West Java,WH-MDN,72,10.82,7.72,Delivered
SO-500276,05.09.2025,SKU-1005,Polyethylene Pellets,Kalimantan,WH-SBY,-287,282.47,182.84,Delivered
SO-500326,2025-11-30 00:00:00,SKU-1005,Polyethylene Pellets,Central Java,WH-MKS,278,282.47,,Delivered
SO-500324,2025-03-22 00:00:00,SKU-1035,Gear Set Helical,Kalimantan,WH-MDN,248,389.75,231.74,Delivered
SO-500359,2025-02-27 00:00:00,SKU-1046,Machine Coolant 5L,Bali & Nusa Tenggara,WH-JKT,219,39.5,30.18,Delivered
SO-500500,2025-02-06 00:00:00,SKU-1038,Rubber Gasket Set,West Java,WH-MKS,189,28.95,21.41,Delivered 
SO-500086,2025-09-14 00:00:00,SKU-1017,Foam Insert Sheet,Sumatra,WH-MKS,229,99.51,74.43,Delivered
SO-500179,2025-11-02 00:00:00,SKU-1036,Pressure Valve 1/2in,West Java,WH-JKT,84,$56.49,39.97,Delivered
SO-500398,2025-09-01 00:00:00,SKU-1035,GEAR SET HELICAL,Kalimantan,WH-JKT,9,389.75,231.74,Delivered
SO-500188,2025-01-22 00:00:00,SKU-1047,Conveyor Belt Roller,West Java,WH-MDN,240,83.28,52.09,Delivered
SO-500305,2025-06-07 00:00:00,SKU-1037,LED Driver 12V,Sulawesi,WH-JKT,247,24.69,15.71,Delivered
SO-500225,2025-04-13 00:00:00,SKU-1010,Corrugated Box Medium,Central Java,WH-MKS,133,294.1,171.63,Delivered 
SO-500263,2025-05-14 00:00:00,SKU-1049,Cleaning Solvent Industrial,Central Java,WH-MDN,151,62.18,41.65,Delivered
SO-500014,2025-01-01 00:00:00,SKU-1035,Gear Set Helical,East Java,WH-SMG,112,389.75,231.74,Delivered
SO-500062,2025-12-06 00:00:00,SKU-1019,Strapping Band PP,East Java,WH-MKS,247,74.14,50.93,Delivered
SO-500392,2025-05-21 00:00:00,SKU-1033,Lithium Battery Cell 18650,EAST JAVA,WH-MKS,13,426.33,242.3,Delivered
SO-500441,2025-03-01 00:00:00,SKU-1005,Polyethylene Pellets,East Java,WH-SBY,164,282.47,182.84,Delivered
SO-500120,2025-04-03 00:00:00,SKU-1043,Cutting Tool Insert,central java,WH-SBY,45,49.63,34.42,Delivered
SO-500569,2025-11-29 00:00:00, SKU-1031,Hydraulic Pump Seal,Central Java,,292,49.09,36.34,Delivered
SO-500040,2025-07-14 00:00:00,SKU-1048,Spare Fuse 10A,Bali & Nusa Tenggara,WH-SMG,220,271.48,159.12,Delivered
SO-500627,2025-11-26 00:00:00, SKU-1045,Welding Rod E6013,Sumatra,WH-SMG,197,260.41,167.46,Delivered
SO-500119,2025-08-09 00:00:00,SKU-1023,Stainless Steel Bottle 1L,Central Java,WH-SBY,276,243.11,177.91,Delivered
SO-500566,2025-02-26 00:00:00,SKU-1009,Timber Plank Oak,bali & nusa tenggara,WH-MKS,191,244.78,182.69,Canceled
SO-500058,2025-12-26 00:00:00,SKU-1038,Rubber Gasket Set,Sulawesi,WH-SMG,10,28.95,21.41,Delivered
SO-500602,2025-06-16 00:00:00,SKU-1035,Gear Set Helical,Sulawesi,WH-SMG,239,389.75,231.74,Delivered
SO-500557,2025-10-27 00:00:00,SKU-1049,Cleaning Solvent Industrial,Central Java,WH-SBY,56,62.18,41.65,Delivered
SO-500261,2025-06-10 00:00:00,SKU-1025,Ceiling Fan 56in,Central Java,,63,141.94,110.44,Delivered
SO-500187,2025-09-14 00:00:00,SKU-1014,Bubble Wrap Roll,Bali & Nusa Tenggara,WH-MKS,186,166.56,128.12,Delivered
SO-500114,2025-12-12 00:00:00,SKU-1021,Office Chair Ergonomic,Sumatra,WH-MKS,167,64.64,37.3,Delivered
SO-500280,2025-02-11 00:00:00,SKU-1001,Aluminum Sheet 3mm,Kalimantan,WH-JKT,300,187.89,148.24,Delivered
SO-500597,2025-01-18 00:00:00,SKU-1045,Welding Rod E6013,Sulawesi,WH-MKS,269,260.41,167.46,Delivered
SO-500089,2025-05-18 00:00:00,SKU-1043,Cutting Tool Insert,West Java,WH-MKS,94,49.63,34.42,Delivered
SO-500312,03.30.2025,SKU-1020,Cordless Drill 18V,Sulawesi,,180,Rp 372.99,245.59,Delivered
SO-500027,2025-09-24 00:00:00,SKU-1017,Foam Insert Sheet,Kalimantan,WH-MDN,127,99.51,74.43,Delivered
SO-500260,2025-08-16 00:00:00,SKU-1023,Stainless Steel Bottle 1L,Sulawesi,WH-JKT,75,243.11,177.91,Delivered
SO-500167,2025-02-04 00:00:00,SKU-1030,Ball Bearing 6205,Bali & Nusa Tenggara,WH-JKT,48,145.89,101.55,Delivered
SO-500075,2025-11-02 00:00:00,SKU-1038,Rubber Gasket Set,Central Java,,272,28.95,21.41,Delivered
SO-500183,2025-10-31 00:00:00,SKU-1043,Cutting Tool Insert,Sulawesi,WH-MDN,162,49.63,34.42,Delivered
SO-500646,2025-06-20 00:00:00,SKU-1031,Hydraulic Pump Seal,East Java,WH-SBY,34,49.09,36.34,Delivered
SO-500198,2025-10-24 00:00:00,SKU-1036,Pressure Valve 1/2in,Kalimantan,WH-MDN,,56.49,39.97,Delivered
SO-500427,2025-07-21 00:00:00,SKU-1017,Foam Insert Sheet,West Java,WH-SMG,293,99.51,74.43,Delivered
SO-500112,2025-01-08 00:00:00,SKU-1029,Standing Desk Converter,Sumatra,WH-SBY,84,268.34,178.08,Delivered
SO-500495,2025-06-29 00:00:00,SKU-1024,Bluetooth Speaker Mini,East Java,WH-MDN,76,273.05,,Delivered
SO-500253,2025-02-22 00:00:00,SKU-1020,Cordless Drill 18V,East Java,WH-JKT,156,372.99,245.59,DELIVERED
SO-500034,2025-10-03 00:00:00,SKU-1026,Electric Kettle 1.7L,Bali & Nusa Tenggara,WH-MKS,117,67.61,42.33,Delivered
SO-500325,2025-05-28 00:00:00,SKU-1012,Shrink Wrap Film,East Java,,35,Rp 174.97,99.81,Delivered
SO-500206,2025-02-22 00:00:00,SKU-1028,Wireless Mouse,Kalimantan,WH-SMG,48,331.23,,Delivered
SO-500600,2025-08-11 00:00:00,SKU-1043,Cutting Tool Insert,Bali & Nusa Tenggara,WH-SBY,-80,49.63,34.42,Delivered
SO-500471,,SKU-1034,Motor Bracket Assembly,Kalimantan,WH-SMG,154,377.86,216.37,Delivered
SO-500271,2025-07-29 00:00:00,SKU-1049,Cleaning Solvent Industrial,West Java,WH-MKS,69,62.18,41.65,Cancelled
SO-500615,2025-02-03 00:00:00,SKU1010,Corrugated Box Medium,Kalimantan,WH-SMG,,294.1,171.63,Delivered
SO-500579,2025-09-03 00:00:00,SKU-1006,Stainless Steel Rod,Kalimantan,WH-MKS,$120,63.49,49.28,Delivered
SO-500328,2025-07-23 00:00:00,SKU-1002,PVC Resin,Central Java,WH-MDN,153,81.83,50.91,Delivered
SO-500523,2025-06-17 00:00:00,SKU-1019,Strapping Band PP,Sulawesi,WH-JKT,238,74.14,50.93,Delivered
SO-500123,2025-05-28 00:00:00,SKU-1029,Standing Desk Converter,Central Java,WH-MKS,42,268.34,178.08,Delivered
SO-500207,2025-01-21 00:00:00,SKU-1011,Corrugated Box Large,Kalimantan,WH-SBY,229,92.93,68.03,Returned
SO-500397,2025-12-01 00:00:00,SKU-1005,Polyethylene Pellets,West Java,,212,282.47 ,182.84,Delivered
SO-500342,2025-08-30 00:00:00,SKU-1035,Gear Set Helical,BALI & NUSA TENGGARA,WH-MKS,116,389.75,231.74,Delivered
SO-500304,2025-07-08 00:00:00,SKU-1001,Aluminum Sheet 3mm,Kalimantan,WH-SMG,61,187.89,148.24,Returned
SO-500240,2025-10-06 00:00:00,SKU-1033,Lithium  Battery  Cell  18650,Bali & Nusa Tenggara,WH-MKS,264,426.33,242.3,Delivered
SO-500477,2025-07-08 00:00:00,SKU-1044,Hydraulic Oil ISO 46,Sumatra,WH-MDN,-172,170.97,110.39,Delivered
SO-500582,2025-10-08 00:00:00,SKU-1004,Copper Wire Roll,East Java,WH-JKT,252,Rp 39.25,26.9,Delivered
SO-500587,2025-01-28 00:00:00,SKU-1009,Timber Plank Oak,West Java,WH-SMG,223,244.78,182.69,Delivered
SO-500408,2025-01-16 00:00:00,SKU1020,Cordless Drill 18V,Bali & Nusa Tenggara,WH-SMG,235,372.99,245.59,DELIVERED
SO-500443,2025-12-23 00:00:00,SKU1046,Machine Coolant 5L,East Java,WH-MDN,39,39.5,30.18,Delivered
SO-500197,2025-02-08 00:00:00,SKU-1041,Safety Gloves Nitrile,Bali  &  Nusa  Tenggara,WH-SBY,257,89.25,67.51,Delivered
SO-500242,2025-01-09 00:00:00,SKU-1016,Poly Mailer Bag,Bali & Nusa Tenggara,WH-SMG,39,223.93,170.55,delivered
SO-500586,2025-01-26 00:00:00,SKU-1006,Stainless Steel Rod,Sulawesi,WH-MDN,286,63.49,49.28,Delivered
SO-500049,2025-03-03 00:00:00,SKU-1038,Rubber Gasket Set,Bali & Nusa Tenggara,WH-MKS,26,28.95,21.41,Delivered
SO-500064,2025-06-06 00:00:00,SKU-1017,Foam Insert Sheet,Central Java,,-66,99.51,74.43,Delivered
SO-500028,2025-05-27 00:00:00,SKU-1004,Copper Wire Roll,East Java,WH-SBY,176,39.25,26.9,Delivered
SO-500209,2025-07-18 00:00:00,SKU-1018,Label Roll Thermal,BALI & NUSA TENGGARA,WH-MDN,-178,291.85,190.85,Deliverd
SO-500154,2025-05-09 00:00:00,SKU-1034,Motor Bracket Assembly,WEST JAVA,WH-SBY,18,377.86,,Delivered
SO-500004,2025-02-05 00:00:00,SKU-1017,Foam Insert Sheet,East Java,WH-SMG,265,99.51,74.43,Deliverd
SO-500134,2025-09-29 00:00:00,SKU-1023,Stainless Steel Bottle 1L,East Java,WH-MKS,89,243.11,177.91,Delivered
SO-500350,2025-04-22 00:00:00,SKU1047,Conveyor Belt Roller,West Java,WH-MKS,28,Rp 83.28,52.09,Delivered
SO-500570,"July 02, 2025",SKU-1039,Timing Belt 120T,Kalimantan,WH-SBY,-94,54.43,31.29,Delivered
SO-500117,2025-11-21 00:00:00,SKU-1006,Stainless Steel Rod,Sumatra,WH-JKT,90,63.49,49.28,DELIVERED
SO-500286,,SKU-1022,LED Desk Lamp,Bali & Nusa Tenggara,WH-SBY,,409.19,309.85,Delivered
SO-500007,2025-08-12 00:00:00,SKU-1020,Cordless Drill 18V,Sulawesi,WH-MKS,64,372.99,245.59,Delivered
SO-500083,2025-03-18 00:00:00,SKU-1041,Safety Gloves Nitrile,Bali & Nusa Tenggara,WH-SMG,77,89.25,67.51,Delivered
SO-500021,2025-03-17 00:00:00,SKU-1015,Carton Tape 48mm,Bali & Nusa Tenggara,WH-JKT,Rp 59,218.82 ,149.71,Delivered
SO-500079,2025-03-22 00:00:00,SKU-1004,Copper Wire Roll,Sumatra,WH-JKT,235,39.25,26.9,Delivered
SO-500256,2025-02-08 00:00:00,SKU-1003,Cotton Yarn,East Java,WH-MDN,267,254.26,190.06,DELIVERED
SO-500367,"November 26, 2025",SKU-1022,LED Desk Lamp,Bali & Nusa Tenggara,WH-MDN,273,409.19,309.85,Delivered
SO-500598,2025-11-14 00:00:00,SKU-1043,Cutting Tool Insert,West Java,WH-SBY,234,49.63,34.42,Delivered
SO-500254,2025-08-07 00:00:00,SKU-1038,Rubber Gasket Set,Kalimantan,WH-SBY,232,28.95,21.41,Delivered
SO-500352,2025-01-17 00:00:00,SKU-1030,Ball Bearing 6205,Sumatra,WH-SMG,Rp 97,145.89,101.55,Delivered
SO-500545,2025-07-10,SKU-1025,Ceiling Fan 56in,Sulawesi,WH-JKT,137,141.94,110.44,Delivered
SO-500626,2025-01-05 00:00:00,SKU-1038,Rubber Gasket Set,East Java,WH-SBY,161,28.95,21.41,Delivered
SO-500036,2025-07-27 00:00:00,SKU-1043,Cutting Tool Insert,Bali & Nusa Tenggara,WH-SBY,244,$49.63,34.42,Delivered
SO-500319,2025-12-02 00:00:00,SKU-1028,Wireless Mouse,Kalimantan,WH-SMG,250,331.23,196.98,Delivered
SO-500596,2025-09-01 00:00:00,SKU-1015,Carton Tape 48mm,West Java,WH-SMG,207,218.82,149.71,Delivered
SO-500211,2025-07-17 00:00:00,SKU-1043,Cutting Tool Insert,East Java,WH-SMG,81,49.63,34.42,Delivered
SO-500095,2025-09-21 00:00:00,SKU-1025,Ceiling Fan 56in,Kalimantan,WH-JKT,282,141.94,110.44,Delivered
SO-500541,2025-05-08 00:00:00,SKU-1045,Welding Rod E6013,Sumatra,WH-SMG,267,260.41,167.46,Delivered
SO-500113,2025-06-23 00:00:00,SKU-1016,Poly Mailer Bag,Kalimantan,,208,223.93,170.55,Delivered
SO-500065,2025-03-03 00:00:00,SKU-1020,Cordless Drill 18V,Bali & Nusa Tenggara,WH-MKS,99,372.99,245.59,Delivered
SO-500191,2025-11-13 00:00:00,Sku-1010,Corrugated Box Medium,Bali & Nusa Tenggara,WH-MDN,190,294.1,171.63,Delivered
SO-500386,2025-10-07 00:00:00,SKU-1046,Machine Coolant 5L,Central Java,WH-MDN,282,39.5,30.18,Returned
SO-500149,2025-08-21 00:00:00,SKU-1007,Rubber Compound,Kalimantan,WH-JKT,113,316.36,216.82,DELIVERED
SO-500452,2025-07-20 00:00:00,SKU-1039,Timing Belt 120T,West Java,WH-MKS,183,54.43,31.29,Delivered
SO-500377,2025-10-10 00:00:00,sku-1015,Carton Tape 48mm,Bali & Nusa Tenggara,WH-SMG,149,218.82,149.71,Delivered
SO-500020,10.22.2025,SKU-1040,Industrial Lubricant 20L,Kalimantan,WH-SBY,201,257.33,,Delivered
SO-500590,2025-07-23 00:00:00,SKU-1019,Strapping Band PP,Sumatra,WH-MDN,140,74.14,50.93,Delivered
SO-500118,2025-01-24 00:00:00,SKU-1001,Aluminum Sheet 3mm,Bali & Nusa Tenggara,WH-SMG,33,$187.89,148.24,Delivered
SO-500157,2025-08-18 00:00:00,SKU-1030,Ball Bearing 6205,Sulawesi,WH-SMG,60 ,145.89,101.55,Delivered
SO-500633,2025-01-30 00:00:00,SKU-1015,Carton Tape 48mm,Sumatra,WH-MKS,168,218.82,,Delivered
SO-500066,2025-09-05 00:00:00,SKU-1047,Conveyor Belt Roller,Kalimantan,WH-SMG,273,83.28,52.09,Delivered
SO-500537,2025-08-19 00:00:00,SKU-1010,Corrugated Box Medium,East Java,WH-MDN,213,294.1,171.63,Delivered
SO-500017,2025-09-21 00:00:00,SKU-1018,Label Roll Thermal,East Java,WH-MKS,52,291.85,190.85,Delivered
SO-500228,2025-08-12,SKU-1009,Timber Plank Oak,Central Java,WH-JKT,$235,244.78,182.69,Delivered
SO-500181,2025-11-07 00:00:00,SKU-1031,Hydraulic Pump Seal,Sumatra,WH-MDN,144,49.09,36.34,Delivered
SO-500213,06-Dec-25,SKU-1044,Hydraulic Oil ISO 46,Central Java,WH-MDN,48,170.97,110.39,Delivered
SO-500218,2025-02-21 00:00:00,SKU-1018,Label Roll Thermal,Bali & Nusa Tenggara,WH-MKS,-281,291.85,190.85,Delivered
SO-500354,2025-07-12 00:00:00,SKU-1024,Bluetooth Speaker Mini,Kalimantan,WH-JKT,281,273.05,168.61,Delivered
SO-500293,2025-01-26 00:00:00,SKU-1003,Cotton Yarn,SUMATRA,,245,254.26,190.06,delivered
SO-500501,2025-07-18 00:00:00,SKU-1008,Silicone Sealant Bulk,Sumatra,WH-MKS,192,145.32,89.78,Delivered
SO-500410,2025-07-14 00:00:00,SKU-1042,Air Filter Cartridge,Bali & Nusa Tenggara,WH-JKT,156,207.59,115.38,Delivered
SO-500245,26/08/2025,SKU-1043,Cutting Tool Insert,Kalimantan,WH-MDN,98,49.63,34.42,delivered
SO-500251,2025-12-21 00:00:00,SKU-1031,Hydraulic Pump Seal,East Java,WH-MDN,270,49.09,36.34,Delivered
SO-500101,2025-11-28 00:00:00,SKU-1007,Rubber Compound,Sumatra,WH-SBY,154,316.36,216.82,Delivered
SO-500295,2025-07-26 00:00:00,SKU-1048,Spare Fuse 10A,West Java,WH-SMG,210,271.48,159.12,Delivered
SO-500145,2025-02-20 00:00:00,SKU-1041,Safety Gloves Nitrile,Sulawesi,WH-MDN,213,Rp 89.25,67.51,Delivered
SO-500210,2025-11-20 00:00:00,SKU-1003,Cotton Yarn,West Java,WH-SMG,173,254.26,190.06,Delivered
SO-500026,09.01.2025,SKU-1010,Corrugated Box Medium,East Java,WH-MDN,131,294.1,171.63,Delivered
SO-500552,12/03/2025,SKU-1024,Bluetooth Speaker Mini,Central Java,WH-MDN,274,273.05,168.61,Delivered
SO-500139,2025-07-10 00:00:00,SKU-1040,Industrial Lubricant 20L,Kalimantan,WH-JKT,124,257.33,164.86,Delivered
SO-500558,05.17.2025,SKU-1015,Carton Tape 48mm,Bali & Nusa Tenggara,WH-MKS,,218.82,149.71,Delivered
SO-500192,2025-05-05 00:00:00,SKU-1006,Stainless Steel Rod,Sulawesi,WH-MDN,210,63.49,49.28,Delivered
SO-500357,2025-12-11 00:00:00,SKU-1029,Standing Desk Converter,Sumatra,WH-MKS,277,268.34,178.08,Delivered
SO-500180,2025-01-26 00:00:00,SKU-1039,Timing Belt 120T,East Java,WH-JKT,231,54.43,31.29,Delivered
SO-500022,2025-04-01 00:00:00,SKU-1014,Bubble Wrap Roll,Sumatra,WH-MKS,30,166.56,128.12,Delivered
SO-500650,2025-07-11 00:00:00,SKU-1012,Shrink Wrap Film,East Java,WH-JKT,276,174.97,99.81,Delivered
SO-500259,2025-11-06 00:00:00,SKU-1002,PVC Resin,Kalimantan,WH-SBY,235,81.83,50.91,Cancelled
SO-500012,2025-06-01 00:00:00,SKU-1044,Hydraulic Oil ISO 46,Central Java,WH-MKS,103,170.97,,Delivered
SO-500214,2025-11-26 00:00:00,SKU-1024,Bluetooth Speaker Mini,Bali & Nusa Tenggara,WH-SMG,70,273.05,168.61,Delivered
SO-500303,2025-09-18 00:00:00,SKU-1032,Circuit Board Rev C,Sumatra,WH-MKS,293,348.1,202.29,Delivered
SO-500380,2025-04-15 00:00:00,SKU-1020,Cordless Drill 18V,East Java,WH-SMG,216,372.99,245.59,Delivered
SO-500478,2025-02-17 00:00:00,SKU-1049,Cleaning Solvent Industrial,Kalimantan,WH-MDN,188,62.18,41.65,Delivered
SO-500411,2025-02-07 00:00:00,SKU-1045,Welding Rod E6013,east java,WH-JKT,83,260.41,167.46,Delivered
