PO_Number,PO_Date,SKU,Product_Name,Supplier_ID,Warehouse_ID,Quantity_Ordered,Unit_Cost,Required_Date,Actual_Delivery_Date,PO_Status
PO-900193,2025-05-09,SKU-1034,Pressure Valve 1/2In,SUP-08,WH-MDN,872.0,39.97,2025-05-16,2025-05-21,Received
PO-900073,2025-08-20,SKU-1021,Led Desk Lamp,SUP-09,WH-JKT,1361.0,309.85,2025-09-10,2025-09-10,Received
PO-900276,2025-09-06,SKU-1002,Pvc Resin,SUP-09,WH-MDN,1244.0,50.91,2025-10-06,2025-10-06,Received
PO-900065,2025-12-18,SKU-1017,Label Roll Thermal,SUP-09,WH-SMG,1986.0,190.85,2025-12-25,2025-12-25,Received
PO-900279,2025-03-24,SKU-1033,Gear Set Helical,SUP-05,WH-JKT,1187.0,231.74,2025-04-07,2025-04-05,Received
PO-900212,2025-10-08,SKU-1011,Corrugated Box Large,SUP-07,WH-SMG,585.0,68.03,2025-11-07,2025-11-07,Received
PO-900267,2025-02-27,SKU-1013,Pallet Wood Standard,SUP-09,WH-SBY,1396.0,135.44,2025-03-20,2025-03-22,Received
PO-900195,2025-09-04,SKU-1001,Aluminum Sheet 3Mm,SUP-02,WH-JKT,628.0,148.24,2025-09-11,2025-09-08,Received
PO-900081,2025-01-21,SKU-1023,Bluetooth Speaker Mini,SUP-05,WH-MDN,671.0,168.61,2025-02-04,2025-02-04,Received
PO-900035,2025-02-18,SKU-1037,Timing Belt 120T,SUP-07,WH-MDN,1455.0,31.29,2025-02-28,2025-02-28,Received
PO-900250,2025-08-05,SKU-1005,Polyethylene Pellets,SUP-01,WH-SBY,1158.0,182.84,2025-08-26,2025-09-03,Received
PO-900180,2025-02-10,SKU-1022,Stainless Steel Bottle 1L,SUP-10,WH-MKS,177.0,177.91,2025-03-12,2025-03-19,Received
PO-900208,2025-08-05,SKU-1031,Lithium Battery Cell 18650,SUP-01,WH-MDN,1207.0,242.3,2025-08-15,2025-08-11,Received
PO-900083,2025-01-21,SKU-1009,Timber Plank Oak,SUP-09,WH-SBY,760.0,182.69,2025-02-11,2025-02-16,Received
PO-900254,2025-09-09,SKU-1037,Timing Belt 120T,SUP-07,WH-SBY,756.0,31.29,2025-09-19,2025-09-15,Received
PO-900278,2025-08-28,SKU-1043,Machine Coolant 5L,SUP-05,WH-SMG,1876.0,30.18,2025-09-27,2025-10-06,Received
PO-900007,2025-01-12,SKU-1013,Pallet Wood Standard,SUP-09,WH-MKS,1133.0,135.44,2025-02-02,2025-01-31,Received
PO-900257,2025-04-22,SKU-1029,Hydraulic Pump Seal,SUP-08,WH-SMG,960.0,36.34,2025-05-13,2025-05-13,Received
PO-900055,2025-12-04,SKU-1027,Standing Desk Converter,SUP-06,WH-MKS,1132.0,178.08,2026-01-18,2026-01-16,Delayed
PO-900185,2025-05-03,SKU-1022,Stainless Steel Bottle 1L,SUP-10,WH-JKT,422.0,177.91,2025-06-02,,Cancelled
PO-900225,2025-03-31,SKU-1032,Motor Bracket Assembly,SUP-04,WH-SMG,827.0,216.37,2025-04-10,2025-04-11,Received
PO-900014,2025-02-23,SKU-1024,Electric Kettle 1.7L,SUP-01,WH-MKS,1572.0,42.33,2025-03-05,2025-03-10,Received
PO-900159,2025-02-19,SKU-1036,Rubber Gasket Set,SUP-09,WH-SBY,1074.0,21.41,2025-03-21,2025-03-31,Received
PO-900268,2025-05-22,SKU-1010,Corrugated Box Medium,SUP-04,WH-MKS,345.0,171.63,2025-05-29,2025-05-31,Received
PO-900112,2025-10-08,SKU-1032,Motor Bracket Assembly,SUP-04,WH-JKT,724.0,216.37,2025-10-18,2025-10-17,Received
PO-900228,2025-11-20,SKU-1024,Electric Kettle 1.7L,SUP-01,WH-MKS,1270.0,42.33,2025-11-30,2025-12-02,Received
PO-900016,2025-09-25,SKU-1015,Poly Mailer Bag,SUP-01,WH-SBY,833.0,170.55,2025-10-25,2025-11-01,Received
PO-900213,2025-06-25,SKU-1037,Timing Belt 120T,SUP-07,WH-SMG,476.0,31.29,2025-07-05,2025-07-05,Received
PO-900247,2025-11-02,SKU-1017,Label Roll Thermal,SUP-09,WH-SBY,1731.0,190.85,2025-11-09,2025-11-05,Received
PO-900061,2025-07-23,SKU-1016,Foam Insert Sheet,SUP-02,WH-SMG,702.0,74.43,2025-07-30,2025-08-02,Received
PO-900251,2025-12-22,SKU-1037,Timing Belt 120T,SUP-07,WH-SMG,683.0,31.29,2026-01-01,2026-01-07,Received
PO-900137,2025-07-09,SKU-1015,Poly Mailer Bag,SUP-01,WH-SBY,187.0,170.55,2025-08-08,2025-08-14,Received
PO-900114,2025-03-14,SKU-1030,Circuit Board Rev C,SUP-08,WH-SBY,476.0,202.29,2025-03-21,2025-03-20,Received
PO-900271,2025-02-16,SKU-1029,Hydraulic Pump Seal,SUP-08,WH-MKS,793.0,36.34,2025-03-09,2025-03-19,Delayed
PO-900183,2025-09-23,SKU-1040,Air Filter Cartridge,SUP-01,WH-SMG,498.0,115.38,2025-09-30,2025-09-30,Received
PO-900168,2025-10-23,SKU-1000,Steel Coil 2Mm,SUP-02,WH-MKS,341.0,7.72,2025-11-02,2025-11-06,Received
PO-900231,2025-07-05,SKU-1026,Wireless Mouse,SUP-10,WH-MKS,1166.0,196.98,2025-07-26,2025-07-29,Received
PO-900234,2025-02-02,SKU-1006,Stainless Steel Rod,SUP-10,WH-MDN,1223.0,49.28,2025-03-19,2025-03-15,Received
PO-900104,2025-11-13,SKU-1039,Safety Gloves Nitrile,SUP-04,WH-JKT,1648.0,67.51,2025-12-28,2026-01-04,Received
PO-900224,2025-11-07,SKU-1041,Cutting Tool Insert,SUP-05,WH-SBY,1281.0,34.42,2025-11-14,2025-11-19,Received
PO-900124,2025-06-19,SKU-1041,Cutting Tool Insert,SUP-05,WH-MDN,1047.0,34.42,2025-06-26,2025-06-29,Received
PO-900067,2025-12-30,SKU-1019,Cordless Drill 18V,SUP-01,WH-JKT,1658.0,245.59,2026-01-06,2026-01-07,Received
PO-900033,2025-12-27,SKU-1000,Steel Coil 2Mm,SUP-02,WH-MKS,1671.0,7.72,2026-01-06,2026-01-13,Received
PO-900103,2025-01-09,SKU-1019,Cordless Drill 18V,SUP-01,WH-MDN,1478.0,245.59,2025-01-16,2025-01-13,Received
PO-900194,2025-06-23,SKU-1014,Carton Tape 48Mm,SUP-07,WH-MDN,1495.0,149.71,2025-07-23,,In Transit
PO-900150,2025-03-24,SKU-1035,Led Driver 12V,SUP-06,WH-SBY,1389.0,15.71,2025-04-23,2025-04-27,Received
PO-900070,2025-07-15,SKU-1001,Aluminum Sheet 3Mm,SUP-02,WH-SBY,208.0,148.24,2025-07-22,2025-07-28,Received
PO-900037,2025-01-28,SKU-1037,Timing Belt 120T,SUP-07,WH-JKT,1417.0,31.29,2025-02-07,2025-02-17,Received
PO-900264,2025-06-09,SKU-1041,Cutting Tool Insert,SUP-05,WH-SMG,424.0,34.42,2025-06-16,2025-06-22,Received
PO-900054,2025-12-11,SKU-1038,Industrial Lubricant 20L,SUP-07,WH-MKS,352.0,164.86,2025-12-25,,In Transit
PO-900058,2025-10-24,SKU-1042,Hydraulic Oil Iso 46,SUP-03,WH-SBY,1596.0,110.39,2025-11-07,2025-11-16,Received
PO-900192,2025-03-01,SKU-1020,Office Chair Ergonomic,SUP-04,WH-MKS,627.0,37.3,2025-03-08,2025-03-18,Received
PO-900133,2025-12-06,SKU-1000,Steel Coil 2Mm,SUP-02,WH-SBY,1836.0,7.72,2025-12-16,,Cancelled
PO-900119,2025-05-26,SKU-1006,Stainless Steel Rod,SUP-10,WH-MKS,242.0,49.28,2025-07-10,2025-07-20,Received
PO-900146,2025-03-22,SKU-1011,Corrugated Box Large,SUP-07,WH-SMG,1332.0,68.03,2025-04-21,2025-04-28,Received
PO-900079,2025-04-11,SKU-1036,Rubber Gasket Set,SUP-09,WH-SBY,702.0,21.41,2025-05-11,2025-05-14,Received
PO-900164,2025-07-15,SKU-1028,Ball Bearing 6205,SUP-01,WH-SMG,1306.0,101.55,2025-07-22,2025-07-30,Received
PO-900040,2025-07-13,SKU-1039,Safety Gloves Nitrile,SUP-04,WH-MDN,1773.0,67.51,2025-08-27,2025-08-26,Received
PO-900174,2025-10-23,SKU-1018,Strapping Band Pp,SUP-10,WH-SMG,1685.0,50.93,2025-11-02,2025-11-09,Received
PO-900245,2025-06-26,SKU-1008,Silicone Sealant Bulk,SUP-06,WH-SMG,1060.0,89.78,2025-08-10,2025-08-14,Received
PO-900017,2025-01-21,SKU-1010,Corrugated Box Medium,SUP-04,WH-MKS,1116.0,171.63,2025-01-28,2025-01-28,Received
PO-900098,2025-04-16,SKU-1006,Stainless Steel Rod,SUP-10,WH-MKS,1797.0,49.28,2025-05-31,,In Transit
PO-900155,2025-10-26,SKU-1009,Timber Plank Oak,SUP-09,WH-SBY,1376.0,182.69,2025-11-16,2025-11-22,Received
PO-900197,2025-09-22,SKU-1021,Led Desk Lamp,SUP-09,WH-MKS,119.0,309.85,2025-10-13,2025-10-20,Received
PO-900201,2025-09-13,SKU-1012,Shrink Wrap Film,SUP-08,WH-SBY,580.0,99.81,2025-10-04,2025-10-04,Received
PO-900092,2025-07-15,SKU-1019,Cordless Drill 18V,SUP-01,WH-JKT,890.0,245.59,2025-07-22,2025-07-22,Received
PO-900130,2025-10-04,SKU-1032,Motor Bracket Assembly,SUP-04,WH-MDN,1439.0,216.37,2025-10-14,2025-10-22,Received
PO-900101,2025-10-13,SKU-1015,Poly Mailer Bag,SUP-01,WH-JKT,1277.0,170.55,2025-11-12,2025-11-21,Received
PO-900220,2025-01-25,SKU-1034,Pressure Valve 1/2In,SUP-08,WH-MDN,302.0,39.97,2025-02-01,2025-02-08,Received
PO-900238,2025-01-18,SKU-1001,Aluminum Sheet 3Mm,SUP-02,WH-SMG,1862.0,148.24,2025-01-25,2025-02-04,Received
PO-900076,2025-06-10,SKU-1041,Cutting Tool Insert,SUP-05,WH-MKS,210.0,34.42,2025-06-17,2025-06-13,Received
PO-900179,2025-11-04,SKU-1028,Ball Bearing 6205,SUP-01,WH-MDN,280.0,101.55,2025-11-11,2025-11-08,Received
PO-900019,2025-10-21,SKU-1007,Rubber Compound,SUP-04,WH-MDN,405.0,216.82,2025-11-11,2025-11-08,Received
PO-900170,2025-11-30,SKU-1025,Air Purifier Hepa,SUP-02,WH-MKS,619.0,212.95,2025-12-21,,In Transit
PO-900154,2025-09-04,SKU-1028,Ball Bearing 6205,SUP-01,WH-SBY,549.0,101.55,2025-09-11,2025-09-20,Received
PO-900259,2025-03-16,SKU-1005,Polyethylene Pellets,SUP-01,WH-JKT,645.0,182.84,2025-04-06,2025-04-14,Received
PO-900072,2025-12-20,SKU-1003,Cotton Yarn,SUP-01,WH-SMG,517.0,190.06,2026-01-10,2026-01-10,Received
PO-900239,2025-08-28,SKU-1028,Ball Bearing 6205,SUP-01,WH-MKS,657.0,101.55,2025-09-04,2025-09-08,Received
PO-900082,2025-10-27,SKU-1010,Corrugated Box Medium,SUP-04,WH-SMG,111.0,171.63,2025-11-03,2025-11-04,Received
PO-900075,2025-05-28,SKU-1042,Hydraulic Oil Iso 46,SUP-03,WH-JKT,1997.0,110.39,2025-06-11,2025-06-13,Received
PO-900050,2025-03-26,SKU-1002,Pvc Resin,SUP-09,WH-MDN,387.0,50.91,2025-04-25,2025-05-04,Received
PO-900026,2025-07-25,SKU-1007,Rubber Compound,SUP-04,WH-MDN,1034.0,216.82,2025-08-15,2025-08-15,Received
PO-900048,2025-12-04,SKU-1045,Spare Fuse 10A,SUP-02,WH-SBY,104.0,159.12,2025-12-11,2025-12-12,Received
PO-900121,2025-03-20,SKU-1035,Led Driver 12V,SUP-06,WH-MKS,1260.0,15.71,2025-04-19,2025-04-20,Received
PO-900064,2025-11-20,SKU-1033,Gear Set Helical,SUP-05,WH-SBY,511.0,231.74,2025-12-04,2025-12-03,Received
PO-900094,2025-08-17,SKU-1030,Circuit Board Rev C,SUP-08,WH-MDN,189.0,202.29,2025-08-24,,In Transit
PO-900012,2025-04-16,SKU-1009,Timber Plank Oak,SUP-09,WH-JKT,716.0,182.69,2025-05-07,2025-05-09,Received
PO-900122,2025-03-28,SKU-1025,Air Purifier Hepa,SUP-02,WH-JKT,741.0,212.95,2025-04-18,2025-04-17,Received
PO-900039,2025-06-19,SKU-1014,Carton Tape 48Mm,SUP-07,WH-SMG,203.0,149.71,2025-07-19,2025-07-23,Received
PO-900151,2025-03-17,SKU-1034,Pressure Valve 1/2In,SUP-08,WH-JKT,440.0,39.97,2025-03-24,2025-03-24,Delayed
PO-900150,2025-03-24,SKU-1035,Led Driver 12V,SUP-06,WH-SBY,1389.0,15.71,2025-04-23,2025-04-27,Received
PO-900270,2025-03-21,SKU-1036,Rubber Gasket Set,SUP-09,WH-SMG,1678.0,21.41,2025-04-20,2025-04-17,Received
PO-900207,2025-07-23,SKU-1016,Foam Insert Sheet,SUP-02,WH-SBY,1636.0,74.43,2025-07-30,2025-08-04,Received
PO-900062,2025-07-31,SKU-1008,Silicone Sealant Bulk,SUP-06,WH-MKS,1533.0,89.78,2025-09-14,2025-09-24,Received
PO-900118,2025-06-19,SKU-1029,Hydraulic Pump Seal,SUP-08,WH-SMG,362.0,36.34,2025-07-10,2025-07-16,Received
PO-900128,2025-11-20,SKU-1030,Circuit Board Rev C,SUP-08,WH-JKT,1764.0,202.29,2025-11-27,2025-12-02,Received
PO-900063,2025-12-26,SKU-1018,Strapping Band Pp,SUP-10,WH-MKS,1862.0,50.93,2026-01-05,2026-01-06,Received
PO-900099,2025-08-11,SKU-1044,Conveyor Belt Roller,SUP-06,WH-JKT,1629.0,52.09,2025-08-25,2025-08-31,Received
PO-900102,2025-07-28,SKU-1015,Poly Mailer Bag,SUP-01,WH-MDN,1023.0,170.55,2025-08-27,2025-09-02,Received
PO-900261,2025-01-07,SKU-1023,Bluetooth Speaker Mini,SUP-05,WH-JKT,1673.0,168.61,2025-01-21,2025-01-28,Received
PO-900200,2025-10-21,SKU-1013,Pallet Wood Standard,SUP-09,WH-SMG,474.0,135.44,2025-11-11,2025-11-18,Received
PO-900115,2025-04-10,SKU-1015,Poly Mailer Bag,SUP-01,WH-JKT,471.0,170.55,2025-05-10,2025-05-16,Received
PO-900093,2025-01-13,SKU-1017,Label Roll Thermal,SUP-09,WH-MKS,1783.0,190.85,2025-01-20,2025-01-28,Received
PO-900108,2025-10-01,SKU-1010,Corrugated Box Medium,SUP-04,WH-SBY,379.0,171.63,2025-10-08,2025-10-15,Received
PO-900187,2025-09-23,SKU-1012,Shrink Wrap Film,SUP-08,WH-JKT,1609.0,99.81,2025-10-14,2025-10-21,Received
PO-900011,2025-07-14,SKU-1026,Wireless Mouse,SUP-10,WH-JKT,1220.0,196.98,2025-08-04,2025-08-04,Received
PO-900266,2025-04-12,SKU-1018,Strapping Band Pp,SUP-10,WH-SMG,1917.0,50.93,2025-04-22,,In Transit
PO-900107,2025-07-15,SKU-1026,Wireless Mouse,SUP-10,WH-MDN,1783.0,196.98,2025-08-05,2025-08-11,Received
PO-900116,2025-10-09,SKU-1003,Cotton Yarn,SUP-01,WH-MDN,1420.0,190.06,2025-10-30,2025-11-03,Received
PO-900088,2025-06-19,SKU-1020,Office Chair Ergonomic,SUP-04,WH-SMG,701.0,37.3,2025-06-26,2025-06-25,Delayed
PO-900165,2025-12-23,SKU-1045,Spare Fuse 10A,SUP-02,WH-MKS,300.0,159.12,2025-12-30,2026-01-01,Received
PO-900132,2025-09-14,SKU-1027,Standing Desk Converter,SUP-06,WH-MKS,285.0,178.08,2025-10-29,2025-10-31,Received
PO-900236,2025-12-02,SKU-1005,Polyethylene Pellets,SUP-01,WH-MDN,733.0,182.84,2025-12-23,2025-12-22,Received
PO-900210,2025-06-11,SKU-1027,Standing Desk Converter,SUP-06,WH-JKT,124.0,178.08,2025-07-26,2025-08-01,Received
PO-900161,2025-03-08,SKU-1040,Air Filter Cartridge,SUP-01,WH-MKS,1204.0,115.38,2025-03-15,2025-03-24,Received
PO-900212,2025-10-08,SKU-1011,Corrugated Box Large,SUP-07,WH-SMG,585.0,68.03,2025-11-07,2025-11-07,Received
PO-900252,2025-07-31,SKU-1016,Foam Insert Sheet,SUP-02,WH-SBY,1847.0,74.43,2025-08-07,2025-08-04,Received
PO-900051,2025-07-29,SKU-1043,Machine Coolant 5L,SUP-05,WH-JKT,620.0,30.18,2025-08-28,2025-09-02,Received
PO-900265,2025-10-09,SKU-1044,Conveyor Belt Roller,SUP-06,WH-MKS,350.0,52.09,2025-10-23,2025-10-23,Received
PO-900069,2025-05-27,SKU-1032,Motor Bracket Assembly,SUP-04,WH-MDN,1755.0,216.37,2025-06-06,2025-06-02,Received
PO-900258,2025-07-10,SKU-1029,Hydraulic Pump Seal,SUP-08,WH-MDN,1527.0,36.34,2025-07-31,2025-08-08,Received
PO-900215,2025-04-03,SKU-1026,Wireless Mouse,SUP-10,WH-MKS,368.0,196.98,2025-04-24,2025-04-29,Received
PO-900233,2025-12-25,SKU-1044,Conveyor Belt Roller,SUP-06,WH-JKT,531.0,52.09,2026-01-08,2026-01-08,Received
PO-900184,2025-09-22,SKU-1030,Circuit Board Rev C,SUP-08,WH-SBY,1359.0,202.29,2025-09-29,2025-09-27,Received
PO-900191,2025-09-17,SKU-1024,Electric Kettle 1.7L,SUP-01,WH-JKT,1244.0,42.33,2025-09-27,2025-09-24,Received
PO-900120,2025-08-19,SKU-1029,Hydraulic Pump Seal,SUP-08,WH-SMG,1362.0,36.34,2025-09-09,2025-09-15,Received
PO-900260,2025-08-29,SKU-1032,Motor Bracket Assembly,SUP-04,WH-SBY,493.0,216.37,2025-09-08,2025-09-18,Received
